filename	mark	label	off0	off1	span	code	semantic_rel
es-S0210-56912007000900007-3	T1	ENFERMEDAD	164	166	DM	73211009	EXACT
es-S0210-56912007000900007-3	T2	ENFERMEDAD	362	376	deshidratación	34095006	EXACT
es-S0210-56912007000900007-3	T3	ENFERMEDAD	575	590	hiperamilasemia	275739007	EXACT
es-S0210-56912007000900007-3	T4	ENFERMEDAD	715	733	pancreatitis aguda	197456007	EXACT
es-S0210-56912007000900007-3	T5	ENFERMEDAD	1402	1459	formación polipoidea sésil situada junto al esfínter anal	88580009	EXACT
es-S0210-56912007000900007-3	T6	ENFERMEDAD	1526	1550	adenoma velloso de recto	312823001	EXACT
es-S0210-56912007000900007-3	T7	ENFERMEDAD	1669	1676	adenoma	443416007	EXACT
es-S0210-48062010000100019-3	T1	ENFERMEDAD	43	62	artritis reumatoide	69896004	EXACT
es-S0210-48062010000100019-3	T2	ENFERMEDAD	144	160	íleo suboclusivo	81060008	NARROW
es-S0210-48062010000100019-3	T3	ENFERMEDAD	366	381	coágulo vesical	42643001	NARROW
es-S0210-48062010000100019-3	T4	ENFERMEDAD	759	785	fisura en la pared vesical	42643001	NARROW
es-S0210-48062010000100019-3	T5	ENFERMEDAD	1086	1116	alteración hemodinámica severa	422773005	NARROW
es-S0365-66912008000100007-2	T1	ENFERMEDAD	144	170	agenesia de cuerpo calloso	5102002	EXACT
es-S0365-66912008000100007-2	T2	ENFERMEDAD	190	224	anomalías de la migración neuronal	253146009	EXACT
es-S0365-66912008000100007-2	T3	ENFERMEDAD	249	258	epilepsia	84757009	EXACT
es-S0365-66912008000100007-2	T4	ENFERMEDAD	532	586	lagunas coriorretinianas hipopigmentadas peripapilares	302893000	NARROW
es-S0365-66912008000100007-2	T5	ENFERMEDAD	818	858	malformaciones a nivel renal o vertebral	90708001+410730009	COMPOSITE
es-S0365-66912008000100007-2	T6	ENFERMEDAD	978	1007	retardo psicomotor muy severo	110359009	NARROW
es-S0365-66912006000600010-2	T1	ENFERMEDAD	53	80	pérdida de visión bilateral	105597003	EXACT
es-S0365-66912006000600010-2	T2	ENFERMEDAD	247	256	epilepsia	84757009	EXACT
es-S0365-66912006000600010-2	T3	ENFERMEDAD	397	423	escotoma central bilateral	346991000119107	EXACT
es-S0365-66912006000600010-2	T4	ENFERMEDAD	460	481	maculopatía bilateral	15998351000119102	EXACT
es-S0365-66912006000600010-2	T5	ENFERMEDAD	570	587	pérdida de visión	267631003	EXACT
es-S0365-66912009000300010-1	T1	ENFERMEDAD	2148	2156	diplopía	24982008	EXACT
es-S0365-66912009000300010-1	T2	ENFERMEDAD	1803	1831	diplopía en la visión lejana	24982008	NARROW
es-S0365-66912009000300010-1	T3	ENFERMEDAD	1425	1444	vasculitis cerebral	427020007	EXACT
es-S0365-66912009000300010-1	T4	ENFERMEDAD	1865	1901	parálisis del VI par craneal derecho	398760006	NARROW
es-S0365-66912009000300010-1	T5	ENFERMEDAD	209	222	cuadro gripal	6142004	EXACT
es-S0365-66912009000300010-1	T6	ENFERMEDAD	1587	1597	vasculitis	31996006	EXACT
es-S0365-66912009000300010-1	T7	ENFERMEDAD	2118	2126	diplopía	24982008	EXACT
es-S0365-66912009000300010-1	T8	ENFERMEDAD	599	604	EPPMA	89188001	EXACT
es-S0365-66912009000300010-1	T9	ENFERMEDAD	485	554	lesiones confluentes blanco-grisáceas en polo posterior en ambos ojos	262756006	NARROW
es-S0365-66912009000300010-1	T10	ENFERMEDAD	918	926	lesiones	157670007	EXACT
es-S1889-836X2016000100006-1	T1	ENFERMEDAD	189	198	fracturas	125605004	EXACT
es-S1889-836X2016000100006-1	T2	ENFERMEDAD	754	766	osteoporosis	64859006	EXACT
es-S1889-836X2016000100006-1	T3	ENFERMEDAD	43	45	OI	78314001	EXACT
es-S1889-836X2016000100006-1	T4	ENFERMEDAD	1643	1645	OI	78314001	EXACT
es-S1889-836X2016000100006-1	T5	ENFERMEDAD	1037	1062	dentinogénesis imperfecta	196286005	EXACT
es-S1889-836X2016000100006-1	T6	ENFERMEDAD	1078	1100	deformidades torácicas	444693004	EXACT
es-S1889-836X2016000100006-1	T7	ENFERMEDAD	1779	1811	cambios degenerativos en columna	699699005	NARROW
es-S1889-836X2016000100006-1	T8	ENFERMEDAD	385	411	fracturas en codo y hombro	309464009+16250001000004107	COMPOSITE
es-S1889-836X2016000100006-1	T9	ENFERMEDAD	1560	1572	osteoporosis	64859006	EXACT
es-S1889-836X2016000100006-1	T10	ENFERMEDAD	1982	1996	litiasis renal	95570007	EXACT
es-S1889-836X2016000100006-1	T11	ENFERMEDAD	572	581	esguinces	398878007	EXACT
es-S1889-836X2016000100006-1	T12	ENFERMEDAD	591	609	roturas musculares	262966007	EXACT
es-S1889-836X2016000100006-1	T13	ENFERMEDAD	628	641	otoesclerosis	11543004	EXACT
es-S1889-836X2016000100006-1	T14	ENFERMEDAD	1707	1724	impresión basilar	86587003	EXACT
es-S1889-836X2016000100006-1	T15	ENFERMEDAD	272	315	traumatismos mínimos, la primera del húmero	428192009	NARROW
